PFAS,SMILES,System,initial photoinitiator concentration,initial PFAS concentration,pH,temperature,contact time,UV,HA,TOC,Ccl,Cphosphate,"CNO3
(mM)",CHCO3,CSO4,CCO3,k
6:2 FTSA,FCF2CF2CF2CF2CF2CF2CH2CH2SO3H,UV/S,10,20,9.5,20,24,254,,,,,,,,,
8:2 FTSA,FCF2CF2CF2CF2CF2CF2CF2CF2CH2CH2SO3H,UV/S,10,20,9.5,20,24,254,,,,,,,,,
4:2 FTSA,FCF2CF2CF2CF2CH2CH2SO3H,UV/S,10,20,9.5,20,24,254,,,,,,,,,
6:2 FTSA,FCF2CF2CF2CF2CF2CF2CH2CH2SO3H,UV/S,10,20,9.5,20,24,254,,,,,,,,,
8:2 FTSA,FCF2CF2CF2CF2CF2CF2CF2CF2CH2CH2SO3H,UV/S,10,20,9.5,20,24,254,,,,,,,,,
6:2 FTSA,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCS(=O)(=O)O,UV/S,20,160,10,,8,253.7,,,,,,,,,0.48
6:2 FTSA,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCS(=O)(=O)O,UV/S,20,160,10,,2,253.7,,,,,,,,,
TFA,O=C(O)C(F)(F)F,UV/S,10,25,12,25,24,254,,,,,,,,,0.41
PFPrS,C(C(F)(F)F)(C(F)(F)S(=O)(=O)[O-])(F)F,UV/S,10,25,12,25,120,254,,,,,,,,,0.0032
PFBS,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,25,12,25,120,254,,,,,,,,,0.037
PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,UV/S,10,25,12,25,24,254,,,,,,,,,0.25
3:3 FTCA,FCF2CF2CF2CH2CH2COOH,UV/S,10,25,12,25,48,254,,,,,,,,,
5:3 FTCA,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC(=O)O,UV/S,10,25,12,25,72,254,,,,,,,,,0.014
6:3 FTCA,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC(=O)O,UV/S,10,25,12,25,60,254,,,,,,,,,0.045
7:3 FTCA,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC(=O)O,UV/S,10,25,12,25,48,254,,,,,,,,,0.15
4:2 FTSA,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCS(=O)(=O)O,UV/S,10,25,12,25,48,254,,,,,,,,,0.0053
8:2 FTSA,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCS(=O)(=O)O,UV/S,10,25,12,25,48,254,,,,,,,,,0.068
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,25,9.5,20,12,254,,,,,,,,,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,25,9.5,20,48,254,,,,,,,,,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,20,9.3,25,24,254,,,,,,,,,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,39,9.2,25,0.17,254,,,,,,,,,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/KI,0.3,25,9.3,20,8,254,,,,,,,,,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/KI,1,25,9.3,20,22,254,,,,,,,,,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/KI,0.3,25,9,,14,254,,,,,,,,,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/KI,0.3,25,9,25,8,254,,,,,,,,,
PFOS,FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,25,9.5,20,48,254,,,,,,,,,
PFOS,FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,25,9.5,20,12,254,,,,,,,,,
PFOS,FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,10,32,9.2,25,0.5,,,,,,,,,,
PFOS,FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/NTA,2,10,10,30,10,254,,,,,,,,,
PFOS,FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/S,2,10,10,30,10,254,,,,,,,,,
PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,IR/HOCCO-,10,12.5,3,25,,,,,,,,,,,
PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,IR/HOCCO-,10,12.5,5,25,,,,,,,,,,,
PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,IR/HOCCO-,10,12.5,7,25,,,,,,,,,,,
PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,IR/HOCCO-,10,12.5,9,25,,,,,,,,,,,
PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,IR/HOCCO-,10,12.5,11,25,,,,,,,,,,,
PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,IR/HOCCO-,10,12.5,,25,,,,,0.1,,,,,,
PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,IR/HOCCO-,10,12.5,,25,,,,,0.2,,,,,,
PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,IR/HOCCO-,10,12.5,,25,,,,,0.5,,,,,,
PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,IR/HOCCO-,10,12.5,,25,,,,,1,,,,,,
PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,IR/HOCCO-,10,12.5,,25,,,,,2,,,,,,
PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,IR/HOCCO-,10,12.5,,25,,,,,5,,,,,,
PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,IR/HOCCO-,10,12.5,,25,,,,,10,,,,,,
PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,IR/HOCCO-,10,12.5,,25,,,,,,,0.1,,,,
PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,IR/HOCCO-,10,12.5,,25,,,,,,,0.2,,,,
PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,IR/HOCCO-,10,12.5,,25,,,,,,,0.5,,,,
PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,IR/HOCCO-,10,12.5,,25,,,,,,,1,,,,
PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,IR/HOCCO-,10,12.5,,25,,,,,,,2,,,,
PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,IR/HOCCO-,10,12.5,,25,,,,,,,5,,,,
PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,IR/HOCCO-,10,12.5,,25,,,,,,,10,,,,
PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,IR/HOCCO-,10,12.5,,25,,,,,,,,,0.1,,
PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,IR/HOCCO-,10,12.5,,25,,,,,,,,,0.2,,
PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,IR/HOCCO-,10,12.5,,25,,,,,,,,,0.5,,
PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,IR/HOCCO-,10,12.5,,25,,,,,,,,,1,,
PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,IR/HOCCO-,10,12.5,,25,,,,,,,,,2,,
PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,IR/HOCCO-,10,12.5,,25,,,,,,,,,5,,
PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,IR/HOCCO-,10,12.5,,25,,,,,,,,,10,,
PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,IR/HOCCO-,10,12.5,,25,,,,,,,,,,0.1,
PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,IR/HOCCO-,10,12.5,,25,,,,,,,,,,0.2,
PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,IR/HOCCO-,10,12.5,,25,,,,,,,,,,0.5,
PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,IR/HOCCO-,10,12.5,,25,,,,,,,,,,1,
PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,IR/HOCCO-,10,12.5,,25,,,,,,,,,,2,
PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,IR/HOCCO-,10,12.5,,25,,,,,,,,,,5,
PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,IR/HOCCO-,10,12.5,,25,,,,,,,,,,10,
C7 HFPO-TA,"C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(F)(F)F)F)(F)F)F)[O-].[NH4+]
",UV/PS,20,100,12,,8,253.7,,,,,,,,,0.66
C7 HFPO-TA,"C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(F)(F)F)F)(F)F)F)[O-].[NH4+]
",UV/PS,2,100,12,,8,253.7,,,,,,,,,
C7 HFPO-TA,"C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(F)(F)F)F)(F)F)F)[O-].[NH4+]
",UV/PS,5,100,12,,8,253.7,,,,,,,,,
C7 HFPO-TA,"C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(F)(F)F)F)(F)F)F)[O-].[NH4+]
",UV/PS,10,100,12,,8,253.7,,,,,,,,,
PFOA,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UV/PS,20,100,12,,8,253.7,,,,,,,,,1.5
6:2 FTSA,FCF2CF2CF2CF2CF2CF2CH2CH2SO3H,UV/PS,20,100,12,,0.17,253.7,,,,,,,,,
6:2 FTSA,FCF2CF2CF2CF2CF2CF2CH2CH2SO4H,UV/PS,20,160,6,,8,253.7,,,,,,,,,
6:2 FTSA,FCF2CF2CF2CF2CF2CF2CH2CH2SO5H,UV/H2O2,20,96.6,,20,12,253.7,,,,,,,,,
